reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1826850,45.879973,0.036465,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:50:40,2024-06-13 20:59:47,13,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826850_lc.txt
1826851,204.8457138,0.015293,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:51:01,2024-06-13 20:57:13,12,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826851_lc.txt
1826852,240.276152,0.01438,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:51:03,2024-06-13 20:58:35,12,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826852_lc.txt
1826853,55.2881204,0.036,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:51:07,2024-06-13 20:59:04,13,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826853_lc.txt
1826854,184.5078288,0.032269,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:51:32,2024-06-13 20:57:05,6,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826854_lc.txt
1826855,203.1880694,0.023,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:51:37,2024-06-13 20:58:14,15,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826855_lc.txt
1826856,307.7886705,0.03,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:51:39,2024-06-13 21:02:45,7,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826856_lc.txt
1826857,97.9791537,0.027,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:52:28,2024-06-13 21:01:58,11,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826857_lc.txt
1826858,16.8877866,0.015,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:52:49,2024-06-13 21:03:48,10,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826858_lc.txt
1826859,178.7942524,0.021,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:53:05,2024-06-13 20:58:54,2,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826859_lc.txt
